Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
One mini Bus of XY coming from H fce side to G furnace side  with high speed at turning. It is very unsafe for the vehcle coming from opposite side at turning,High Speed,,,,,,,Other Roads,collision,"property, person","property damage, injury"
"At about 01:55pm, he was coming to attend his â??Bâ?? shift duty. He entered from â??Lâ?? town Gate. At LD#2 Traffic signal, when the signal was green, he took right turn for WRM, during which he collided with 4 wheeler (JH05R2150) of Mr P K Dutta, Pno-121677",Vehicle Dashing,,,,,,,Main Road,,,
ABOUT 03:00 PM LEFT SIDE OF MAIN ROAD ONE ROW TRAILERS ARE WAITING FOR THEIRE LOADING AND UNLOADING ACTIVITY. OTHER LORRY CROSSING THE LORRY AND DOING BACK ACTIVITY.WHILE LORRY MOVING BACK TOUCHES THE FENCING AND SPARES KEPT BESIDE THE MAIN ROAD.,Neglegent Driving,,,,,,,Main Road,,,
"On 18/10/2017 at  08:30 am, Mr Lalu, Khalasi of CO2 tanker Reg No of M/S XY Ltd ,supplier of M/s XY An Ecolab company ,while coming back from canteen fell on the road near thickener #3 and became unconscious. He sustained minor cut injury on his lower lip and forehead. After giving initial treatment, he was taken to the east plant first aid, where doctor on duty declared him fit for duty after necessary examination and first aid.",Slippary Pathway,,,,,,,Other Roads,,,
"Trailer bed got bend , It was shifting segment from LD2 to Segment Shop",Poor Vehicle condition,,,,,,,Main Road,,,
"A tanker YYYY of rubicon Inspection system was coming from pellet plant track hopper # 4 dumping area, after dumping sludge &amp; had to go CRM utility to collect sludge. On the way near security office Engg. Shop shed , A car # YYYY of A.R.Majumdar Head Engineering Spl. Intigrity was moving the left side of the tanker. Suddenly tankerâ??s left side body touched with the driver side looking mirror &amp; damaged it. No any injury.",Neglegent Driving,,,,,,,Main Road,,,
"Mr. Ramjee singh, Pno; 112887 of Engg. Services was going to  MR&amp;SPP for maintenance job on his motor cycle # YYYY. On the way when he reached near just before foot over bridge, front wheel of his motor cycle run over  a stone. He got unbalance &amp; dashed with side wall beside road &amp; sustain injury",Slippary Pathway,,,,,,,Main Road,,,
"he was coming to join B shift duty through L Town gate.at L town gate when his bike moved towards the road . He took left turn &amp;  his bike dashed to a car  coming from the road. Car was on the lane &amp; he took sudden left turn ,due to this he fell down with his bike on the road. Sustained injury. He came to WPFA.",Vehicle Dashing,,,,,,,Main Road,,,
Trailer bearing  Registration No. NL- was parked just beside of BIM shed and a car of M/s- R Enterprises Bearing Registration No. was parked back of this trailer.  In the mean time a vehicle came from main road side and turned towards this road since there was narrow space to cross any vehicle from this trailer side so trailer operator tried to provide pass to the vehicle which was coming from front side of this trailer. During reversing position said trailer dashed front portion of parked Alto Car. No injury took place only front portion of Alto car (Bonnet) got damaged. ,Vehicle Dashing,,,,,,,Other Roads,,,
"while cmg to office parking one two wheeler is suddenly came from wrong side for exit ,control my car suddenly . ",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"while coming to office at sakchi gate two wheeler suddenly getting entering from car entrance gate,just miss to dash one vehicle.",Neglegent Driving,,,,,,,Main Road,dashing,property,property damage
one car while parking at side of road dash the ladder which is a storage place of scaffolding.,Vehicle Dashing,,,,,,,Other Roads,,,
"ONE TWO WHEELER ComING FRom WRONG EXIT ,JUST MISS TO DASH.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"one person came suddenly by run ,just applied brake suddenly and control my car.",Run Over,,,,,,,Main Road,run over,person,injury
"while coming to office one car has taken sudden brake ,just miss to dash.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
ONE VEHICLE ComING TO MAIN ROAD WITHOUT SEEING UPComING VEHICLES.,Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"ONE VEHICLE CAME FRom WRONG SIDE ,JUST MISS TO DASH.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"ONE VEHICLE MOVING IN FRONT OF ME IS TAKEN SUDDEN BRAKE ,JUST MISSED TO DASH.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"one two wheeler coming from wrong side for exit,just missed to collaspe",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"while coming to our parkinh one vehicle going out from wrong side,",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"WHILE GOING WITH MY TWO WHEELER ,ONE FOUR WHEELER CAME FRom OPPOSITE SIDE ,MISSED COLISION.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"while cmg to off one vehicle two wheeler taken sudden turn near SBI,JUST MISSED .",High Speed,,,,,,,Main Road,collision,property ,property damage
"one person crossing road without seeing cmg vehicles,just missed to met collision of my vehicle.",Run Over,,,,,,,Main Road,run over,person,injury
"one car going ahead taken sudden brake without right signal,taken both brake of my two wheeler and controlled.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"while going to site visit ,one vehicle taken sudden right turn,just missed .",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"while coming to office with my car at parking one scooter came from wrong direction,just missed to colision.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"While going to wgo front parking one car suddenly came for exit ,just missed to collaspe.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"while coming to office at parking one two wheeler came from wrong direction,just missed to collaspe.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
while going with my vehicle one vehicle suddenly came when turning without given horn near coke refrigeration area,Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"AT COKE PLANT OFFICE TURNING ONE VEHICLE CAME SUDDENLY,,BUT CONTROLLED.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"WHILE CMG TO OFFICE AT GATE ONE TWO WHEELER CAME SUDDENLY FRom LEFT SIDE, JUST MISS TO COLIDE....",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
"NEAR COKE PLANT OFFICE  ONE TWO WHEELER CAME SUDDENLY IN FRONT OF MY CAR ,APPLIED BRAKE AND CONTROLLED.",Neglegent Driving,,,,,,,Other Roads,collision,property ,property damage
"WHILE CMG TO OFFICE ONE TWO WHEELER CAME SUDDENLY FRom LEFT SIDE, JUST MISSED TO COLIDE.",Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
WHILE ENTERING WITH MY CAR ONE TWO WHEELER CAME FRom WRONG SIDE.,Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
WHILE CMG TO OFFICE AT GATE ONE TWO WHEELER CAME SUDDENLY,Neglegent Driving,,,,,,,Main Road,collision,property ,property damage
while cmg to office front vehicle taken right turn without giving signal.,Neglegent Driving,,,,,,,Main Road,collision,property,property damage
"the whole road was filled with rain water up to  2 feet, vehicles passing were half submerged . this  may lead to fall of vehicles and may cause first aid case  or even worse ( the drain was jammed and water was not passing through  drain ) ",Poor Road Condition,,,,,,,Main Road,fall,property,property damage
"lighting on road in front of IT Building is less,collision may have happned",Poor Road Condition,,,,,,,Other Roads,collision,property,property damage
